T26,Population employed in research and development (R&D),,,,,
466,Mali,2017,R & D personnel: Total (number in full-time equivalent),1451,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Researchers - total (number in full-time equivalent),608,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Researchers - women (number in full-time equivalent),87,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Technicians - total (number in full-time equivalent),440,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Technicians - women (number in full-time equivalent),87,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),403,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),115,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Total (number in full-time equivalent),825,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Researchers - total (number in full-time equivalent),479,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Researchers - women (number in full-time equivalent),121,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Technicians - total (number in full-time equivalent),222,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Technicians - women (number in full-time equivalent),20,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),124,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),65,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Total (number in full-time equivalent),1102,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Researchers - total (number in full-time equivalent),587,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Researchers - women (number in full-time equivalent),150,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Technicians - total (number in full-time equivalent),335,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Technicians - women (number in full-time equivalent),36,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),179,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),87,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Total (number in full-time equivalent),1422,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Researchers - total (number in full-time equivalent),820,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Researchers - women (number in full-time equivalent),218,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Technicians - total (number in full-time equivalent),332,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Technicians - women (number in full-time equivalent),34,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),271,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),128,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Total (number in full-time equivalent),1542,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Researchers - total (number in full-time equivalent),933,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Researchers - women (number in full-time equivalent),275,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Technicians - total (number in full-time equivalent),388,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Technicians - women (number in full-time equivalent),81,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),221,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),111,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2018,R & D personnel: Total (number in full-time equivalent),1443,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2018,R & D personnel: Researchers - total (number in full-time equivalent),855,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Total (number in full-time equivalent),2286,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Researchers - total (number in full-time equivalent),2263,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Researchers - women (number in full-time equivalent),523,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Technicians - total (number in full-time equivalent),14,Partial data.;Head count instead of Full-time equivalent.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Technicians - women (number in full-time equivalent),1,Partial data.;Head count instead of Full-time equivalent.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),9,Partial data.;Head count instead of Full-time equivalent.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),3,Partial data.;Head count instead of Full-time equivalent.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Total (number in full-time equivalent),3233,Head count instead of Full-time equivalent.;Higher Education only.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Researchers - total (number in full-time equivalent),3206,Head count instead of Full-time equivalent.;Higher Education only.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Researchers - women (number in full-time equivalent),785,Head count instead of Full-time equivalent.;Higher Education only.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Technicians - total (number in full-time equivalent),21,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Technicians - women (number in full-time equivalent),1,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),3,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Total (number in full-time equivalent),627,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Researchers - total (number in full-time equivalent),228,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Researchers - women (number in full-time equivalent),94,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Technicians - total (number in full-time equivalent),68,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Technicians - women (number in full-time equivalent),34,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Other supporting staff - total (number in full-time equivalent),331,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Other supporting staff - women (number in full-time equivalent),57,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Total (number in full-time equivalent),1140,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Researchers - total (number in full-time equivalent),600,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Researchers - women (number in full-time equivalent),278,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Technicians - total (number in full-time equivalent),165,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Technicians - women (number in full-time equivalent),58,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),374,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),87,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2005,R & D personnel: Total (number in full-time equivalent),83685,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2005,R & D personnel: Researchers - total (number in full-time equivalent),43922,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2005,R & D personnel: Technicians - total (number in full-time equivalent),25796,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),13967,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2010,R & D personnel: Total (number in full-time equivalent),70997,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2010,R & D personnel: Researchers - total (number in full-time equivalent),38497,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2010,R & D personnel: Technicians - total (number in full-time equivalent),20760,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),11740,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2015,R & D personnel: Total (number in full-time equivalent),57013,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2015,R & D personnel: Researchers - total (number in full-time equivalent),34282,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2015,R & D personnel: Technicians - total (number in full-time equivalent),14736,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),7996,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2016,R & D personnel: Total (number in full-time equivalent),65824,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2016,R & D personnel: Researchers - total (number in full-time equivalent),38882,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2016,R & D personnel: Technicians - total (number in full-time equivalent),17303,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),9638,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
492,Monaco,2005,R & D personnel: Total (number in full-time equivalent),18,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
492,Monaco,2005,R & D personnel: Researchers - total (number in full-time equivalent),10,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
492,Monaco,2005,R & D personnel: Researchers - women (number in full-time equivalent),5,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
492,Monaco,2005,R & D personnel: Technicians - total (number in full-time equivalent),5,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
492,Monaco,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),3,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2000,R & D personnel: Technicians - total (number in full-time equivalent),294,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2000,R & D personnel: Technicians - women (number in full-time equivalent),150,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2005,R & D personnel: Total (number in full-time equivalent),2283,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2005,R & D personnel: Researchers - total (number in full-time equivalent),1731,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2005,R & D personnel: Researchers - women (number in full-time equivalent),819,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2005,R & D personnel: Technicians - total (number in full-time equivalent),81,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),471,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Total (number in full-time equivalent),2517,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Researchers - total (number in full-time equivalent),1739,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Researchers - women (number in full-time equivalent),865,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Technicians - total (number in full-time equivalent),129,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Technicians - women (number in full-time equivalent),48,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),649,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2015,R & D personnel: Total (number in full-time equivalent),2515,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2015,R & D personnel: Researchers - total (number in full-time equivalent),1867,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2015,R & D personnel: Researchers - women (number in full-time equivalent),915,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2015,R & D personnel: Technicians - total (number in full-time equivalent),97,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2015,R & D personnel: Technicians - women (number in full-time equivalent),33,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),551,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Total (number in full-time equivalent),3026,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Researchers - total (number in full-time equivalent),1917,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Researchers - women (number in full-time equivalent),937,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Technicians - total (number in full-time equivalent),218,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Technicians - women (number in full-time equivalent),86,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),891,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Total (number in full-time equivalent),673,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Researchers - total (number in full-time equivalent),523,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Researchers - women (number in full-time equivalent),239,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Technicians - total (number in full-time equivalent),81,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Technicians - women (number in full-time equivalent),39,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),68,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),47,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Total (number in full-time equivalent),611,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Researchers - total (number in full-time equivalent),441,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Researchers - women (number in full-time equivalent),208,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Technicians - total (number in full-time equivalent),98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
499,Montenegro,2017,R & D personnel: Technicians - women (number in full-time equivalent),56,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
